設置場所名称,所在地,電話番号,営業時間,急速充電器基数,普通充電器基数,加盟・提携区分,施設カテゴリー,ネットワーク事業者,新規,新規設置利用開始日,備考
日産プリンス埼玉圏央道鶴ヶ島店,埼玉県鶴ヶ島市三ツ木新町２丁目４－８,049-279-3023,24時間営業,2,0,提携,自動車ディーラー,e-Moblity Power,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
ネッツトヨタ東埼玉　マイネッツ鶴ヶ島,埼玉県鶴ヶ島市三ツ木新町２－５－２５,049-287-3131,10:00 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜、GW、年末年始など不定期に停止することがあります。詳細は店舗へお問合せください。
トヨタカローラ新埼玉　鶴ヶ島店,埼玉県鶴ヶ島市三ツ木４２－１,049-271-2800,10:00 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
ネッツトヨタ埼玉　鶴ヶ島店,埼玉県鶴ヶ島市脚折町５丁目４番５３号,049-286-6221,10:00 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
埼玉トヨタ　鶴ケ島店,埼玉県鶴ケ島市脚折町１－４０－２６,049-285-2111,10:00 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
ニトリ　鶴ヶ島店,埼玉県鶴ヶ島市脚折町５－４－５,,10:00 ～ 20:00,0,2,加盟,大規模小売店舗,日本ユニシス,,,
ファミリーマート日高旭ヶ丘店,埼玉県日高市大字旭ヶ丘７２７－２,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
ホンダカーズ埼玉県央　日高店,埼玉県日高市大字高萩２２８０番地１,,10:00 ～ 19:00,1,0,提携,自動車ディーラー,日本ユニシス,,,毎週水曜日定休日　
リパーク武蔵高萩駅前,埼玉県日高市高萩１６９ー３,,24時間営業,0,20,提携,その他,JCN,,,
トヨタカローラ新埼玉　日高店,埼玉県日高市大谷沢２８０－５,042-985-2828,10:00 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
あぐれっしゅ日高中央,埼玉県日高市猿田７７－１,042-989-9161,08:30 ～ 17:00,0,1,加盟,小売店舗,日本ユニシス,,,【定休日等】定休日　水曜日（祭日の場合営業）
ファミリーマート吉川会野谷店,埼玉県吉川市関５９０－１,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
ファミリーマート吉川平沼一丁目店,埼玉県吉川市平沼１－４－３,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
埼玉トヨタ　吉川店,埼玉県吉川市栄町１４０３,048-982-9611,10:00 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
東日本三菱自動車販売（株）上福岡店,埼玉県ふじみ野市鶴ヶ岡３－１７－３８,049-264-0511,24時間営業,1,0,提携,自動車ディーラー,エネゲート,,,
ふじみ野市役所第２庁舎北側,埼玉県ふじみ野市福岡一丁目１番１号,049-261-2611,24時間営業,1,0,提携,自治体施設,エネゲート,,,
埼玉トヨペット　ふじみ野支店,埼玉県ふじみ野市大井１丁目８－３１,049-266-2882,10:00 ～ 19:00,1,0,提携,自動車ディーラー,エネゲート,NEW,2023年05月10日,【定休日等】毎週月曜、第一第二火曜。GW、年末年始など不定期に停止することがあります。充電時間１回３０分迄。詳細は店舗へお問合せください。
埼玉日産ふじみ野店,埼玉県ふじみ野市旭１丁目１７－１５,049-262-2301,24時間営業,3,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
日産サティオ埼玉ふじみ野店,埼玉県ふじみ野市亀久保４丁目７－１４,049-278-2355,24時間営業,2,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
イオン大井店,埼玉県ふじみ野市ふじみ野１－２－１,049-261-3101,09:00 ～ 22:00,1,1,提携,大規模小売店舗,NEC,,,
イオンタウンふじみ野,埼玉県ふじみ野市福岡２－１－６,049-256-3001,10:00 ～ 20:00,1,1,提携,大規模小売店舗,NEC,,,
トヨタカローラ新埼玉　ふじみ野店,埼玉県ふじみ野市ふじみ野１－８－３０,049-278-5911,10:00 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
埼玉トヨタ　ふじみ野店,埼玉県ふじみ野市ふじみ野１－１－４７,049-278-4011,10:00 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
あぐれっしゅふじみ野,埼玉県ふじみ野市うれし野２－４－１,049-263-5637,09:30 ～ 18:30,0,1,加盟,小売店舗,日本ユニシス,,,【定休日等】第3水曜日 10月から2月までは9:30から18:00
久喜三菱自動車販売（株）白岡店,埼玉県白岡市西１－６－３,0480-92-8401,24時間営業,1,0,提携,自動車ディーラー,エネゲート,,,
埼玉日産白岡店,埼玉県白岡市西８丁目５－３,0480-93-1123,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
日産サティオ埼玉白岡店,埼玉県白岡市西８丁目５－７,0480-92-6622,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
ホンダカーズ桶川　伊奈店,埼玉県北足立郡伊奈町栄３－１２１－１,048-722-7151,10:00 ～ 18:00,1,0,提携,自動車ディーラー,日本ユニシス,,,【定休日等】毎週　火、水曜日は定休日年末年始・ＧＷなど不定期に停止することがあります詳細はＨｏｎｄａＣａｒｓのホームページをご確認ください。
ファミリーマート三芳藤久保店,埼玉県入間郡三芳町大字藤久保５８１－１２,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
日産プリンス埼玉三芳店,埼玉県入間郡三芳町藤久保６９６－１,049-259-5523,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
関越自動車道　三芳ＰＡ上り,埼玉県入間郡三芳町上富大字上富２２０４,,24時間営業,4,0,提携,ＳＡ/ＰＡ,e-Moblity Power,,,
関越自動車道　三芳ＰＡ下り,埼玉県入間郡三芳町上富東永久保２２４５－１,,24時間営業,4,0,提携,ＳＡ/ＰＡ,e-Moblity Power,,,
とんでん　三芳店,埼玉県入間郡三芳町藤久保８００－５,049-259-5651,11:00 ～ 00:30,0,2,加盟,飲食店,日本ユニシス,,,
オリムピックナショナルＧＣ,埼玉県入間郡毛呂山町滝ノ入１７２４,050-3173-5349,09:30 ～ 17:30,0,4,提携,ゴルフ場,ENECHANGE,NEW,2023年04月20日,【定休日等】利用日時制限あり
ベイシアなめがわモール店,埼玉県比企郡滑川町大字羽尾２７８０,,09:00 ～ 20:00,2,0,提携,小売店舗,e-Moblity Power,,,
カインズホーム　嵐山店,埼玉県比企郡嵐山町大字平澤字遠道８００－１,,09:30 ～ 20:00,1,0,加盟,大規模小売店舗,JCN,,,【定休日等】1月1日
関越自動車道　嵐山ＰＡ上り,埼玉県比企郡嵐山町越畑字十三間１８５４－１,,24時間営業,1,0,加盟,ＳＡ/ＰＡ,JCN,,,
関越自動車道　嵐山ＰＡ下り,埼玉県比企郡嵐山町越畑字新田２０５２－５,,24時間営業,1,0,加盟,ＳＡ/ＰＡ,JCN,,,
トヨタカローラ新埼玉　嵐山店,埼玉県比企郡嵐山町大字平沢３４５,0493-61-1201,10:00 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
道の駅　おがわまち,埼玉県比企郡小川町大字小川１２２０,,24時間営業,1,0,提携,道の駅,日本ユニシス,,,
小川町役場,埼玉県比企郡小川町大字大塚５５,,24時間営業,1,0,提携,自治体施設,日本ユニシス,,,
ファミリーマート川島正直店,埼玉県比企郡川島町大字正直５９－１,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
カインズホーム　川島インター店,埼玉県比企郡川島町大字上伊草２１０,,09:00 ～ 20:00,1,0,加盟,大規模小売店舗,JCN,,,【定休日等】1月1日
道の駅いちごの里よしみ,埼玉県比企郡吉見町大字久保田１７３７番地,0493-53-1530,24時間営業,1,0,提携,道の駅,エネゲート,,,
鳩山町役場南側駐車場,埼玉県比企郡鳩山町大字大豆戸１８４－２７,,24時間営業,1,0,提携,自治体施設,JCN,,,
ベイシアスーパーマーケット鳩山店,埼玉県比企郡鳩山町大字赤沼２７０４－８,,09:00 ～ 20:00,2,0,提携,小売店舗,e-Moblity Power,,,【定休日等】1月1日　定休日
ＪＥＶ　埼玉ヒーロー店,埼玉県比企郡ときがわ町玉川６９－１,,24時間営業,1,0,提携,小売店舗,エネゲート,,,
ファミリーマート　野原五明店,埼玉県比企郡ときがわ町大字五明７６３－３,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
道の駅果樹公園あしがくぼ,埼玉県秩父郡横瀬町芦ケ久保１９１５－６,0494-21-0299,24時間営業,1,0,提携,道の駅,日本ユニシス,,,
ホンダカーズ秩父中央　皆野店,埼玉県秩父郡皆野町皆野７７８－５,0494-62-2131,09:30 ～ 19:00,1,0,提携,自動車ディーラー,日本ユニシス,,,【定休日等】第２火曜日及び毎週水曜日定休日　年末年始・GW・お盆など不定期に休止することがあります。詳細はホームページをご確認ください。
長瀞町役場,埼玉県秩父郡長瀞町大字本野上１０３５－１,,24時間営業,1,0,提携,自治体施設,日本ユニシス,,,
道の駅両神温泉薬師の湯,埼玉県秩父郡小鹿野町両神薄２３８０番地,0494-79-1533,24時間営業,2,0,提携,道の駅,エネゲート,,,
埼玉県児玉郡美里町,埼玉県児玉郡美里町大字木部３２３－１,0495-76-1115,08:30 ～ 17:15,1,0,加盟,自治体施設,エネゲート,,,【定休日等】土曜日、日曜日、祝日、年末年始
神川町役場,埼玉県児玉郡神川町大字植竹９０９,0495-77-2111,24時間営業,1,0,加盟,自治体施設,日本ユニシス,,,無休
埼北三菱自動車販売　本庄店,埼玉県児玉郡上里町七本木３００５,0495-33-4010,24時間営業,1,0,提携,自動車ディーラー,エネゲート,,,
上里町役場,埼玉県児玉郡上里町大字七本木５５１８,0495-35-1234,24時間営業,1,0,提携,自治体施設,エネゲート,,,
関越自動車道　上里ＳＡ上り,埼玉県児玉郡上里町大字五明字若宮８３６－１,,24時間営業,6,0,提携,ＳＡ/ＰＡ,e-Moblity Power,,,
関越自動車道　上里ＳＡ下り,埼玉県児玉郡上里町大字五明字若宮８２０,,24時間営業,6,0,提携,ＳＡ/ＰＡ,e-Moblity Power,,,
Honda 埼玉製作所寄居工場,埼玉県大里郡寄居町大字富田２３５４番地,048-577-2100,09:00 ～ 17:00,1,0,提携,自動車ディーラー,エネゲート,,,【定休日】土曜・日曜・工場連休期間(年末年始・5月GW・8月お盆)　充電器出力50KW・休憩施設有り。車両メーカーに関わらず、どなたでもご利用頂けます。※ケーブル付普通充電器(200V)は条件付無料。
寄居駅南口駅前拠点,埼玉県大里郡寄居町寄居１２３１番地１１,,24時間営業,1,0,提携,自治体施設,エネゲート,,,
埼玉トヨペット　寄居支店,埼玉県大里郡寄居町寄居１５４７－１,048-581-9211,10:00 ～ 19:00,1,0,提携,自動車ディーラー,エネゲート,NEW,2023年05月10日,【定休日等】毎週月曜、第一第二火曜。GW、年末年始など不定期に停止することがあります。充電時間１回３０分迄。詳細は店舗へお問合せください。
ファミリーマート寄居富田店,埼玉県大里郡寄居町大字富田３５７２－２,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
日産サティオ埼玉北寄居店,埼玉県大里郡寄居町桜沢２３０－１,048-533-5523,24時間営業,2,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
ベイシア寄居北店,埼玉県大里郡寄居町大字桜沢２９１６,,09:00 ～ 20:00,2,0,提携,小売店舗,e-Moblity Power,,,
ホンダカーズ熊谷　寄居店,埼玉県大里郡寄居町桜沢２０－８１,048-581-8891,09:30 ～ 18:30,1,0,提携,自動車ディーラー,日本ユニシス,,,【定休日等】毎週水曜日、第二火曜日は定休日。年末年始・GW・など不定期に停止することがあります。詳細はホンダカーズ熊谷のホームページをご確認ください。
長瀞カントリークラブ,埼玉県大里郡寄居町金尾字扇畑１０４７－１,050-3173-5349,07:00 ～ 17:00,0,2,提携,ゴルフ場,ENECHANGE,NEW,2023年04月20日,【定休日等】利用日時制限あり
トヨタカローラ新埼玉　寄居店,埼玉県大里郡寄居町桜沢８９－１,048-581-6565,10:00 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
細井自動車株式会社　本社,埼玉県北葛飾郡杉戸町内田３－１９－１５,0480-34-5678,24時間営業,1,0,提携,その他,エネゲート,,,
道の駅　アグリパークゆめすぎと,埼玉県北葛飾郡杉戸町大字才羽８２３－２,03-6712-3150,24時間営業,1,0,提携,道の駅,エネゲート,,,【定休日等】充電器は無休。道の駅は水曜日（祝日除く）、年末年始
日産プリンス埼玉杉戸店,埼玉県北葛飾郡杉戸町堤根４３６８－２,0480-32-5123,24時間営業,2,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
埼玉トヨタ　杉戸店,埼玉県北葛飾郡杉戸町杉戸２５０３,0480-37-3111,10:00 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
カインズ松伏店,埼玉県北葛飾郡松伏町大川戸３１３３,,09:00 ～ 20:30,2,0,提携,大規模小売店舗,e-Moblity Power,,,【定休日等】1/1 休業
千葉三菱自動車販売（株）千葉店,千葉県千葉市中央区浜野町１０２５,043-261-4451,24時間営業,1,0,提携,自動車ディーラー,エネゲート,,,【利用不可日】メンテナンス日
千葉三菱コルト自動車販売（株）千葉店,千葉県千葉市中央区都町２－２１－１３,043-231-7131,24時間営業,1,0,提携,自動車ディーラー,エネゲート,,,
千葉トヨペット　レクサス千葉中央,千葉県千葉市中央区新町１０,043-247-3100,10:00 ～ 18:00,1,0,提携,自動車ディーラー,エネゲート,NEW,2023年05月01日,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間１回３０分迄。詳細は店舗へお問合せください。
ミニストップ　千葉都町店,千葉県千葉市中央区都町１２５４－２,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
ファミリーマート南生実町店,千葉県千葉市中央区南生実町７５５－５,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
千葉日産都町店,千葉県千葉市中央区都町３丁目２－２,043-231-4138,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
日産サティオ千葉千葉南店,千葉県千葉市中央区南町２丁目２２－２０,043-263-1361,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
日産サティオ千葉都町店,千葉県千葉市中央区都町２丁目９－７,043-232-1032,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
日産プリンス千葉末広店,千葉県千葉市中央区末広４－８－３,043-239-3110,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
アリオ蘇我,千葉県千葉市中央区川崎町５２番地７,043-268-6111,09:30 ～ 22:30,1,0,提携,大規模小売店舗,JCN,,,【利用時間・駐車料金等】（注）詳細は店舗にお問い合わせください
そごう千葉店オーロラシティ駐車場,千葉県千葉市中央区新町１００１番地,,08:00 ～ 23:00,1,190,提携,大規模小売店舗,JCN,,,【定休日等】２３：００～８：００は出庫不可。充電区画は共用のため充電可と表示中でも利用不可の場合あり。普通：充電口がドアパネル内側にある車種は駐車場係員まで。急速：利用の際は入庫時に駐車場係員まで。
ホンダカーズ千葉　千葉みなと店,千葉県千葉市中央区新田町３７－２４,043-248-0001,10:00 ～ 18:00,1,0,提携,自動車ディーラー,日本ユニシス,,,毎週火曜・水曜定休。年末年始・GW・お盆など不定期に停止することがあります。詳細はHonda Cars 千葉のホームページをご確認ください。
メルセデス・ベンツ千葉中央,千葉県千葉市中央区川崎町１番４３,043-268-1511,24時間営業,1,0,提携,自動車ディーラー,日本ユニシス,,,【定休日等】店舗の定休日：「火曜日＆第1第3水曜日」ですが、充電設備は24時間年中無休でご利用いただけけます。
アリオ蘇我,千葉県千葉市中央区川崎町５２番地７,043-268-6111,09:30 ～ 22:30,0,89,提携,大規模小売店舗,JCN,,,【利用時間・駐車料金等】（注）詳細は店舗にお問い合わせください
本町パーキング駐車場,千葉県千葉市中央区本町１－３－１５,,24時間営業,0,3,提携,その他,トヨタコネクティッド,,,
ネッツトヨタ千葉　稲荷町店,千葉県千葉市中央区稲荷町３－１－１,043-261-1881,10:00 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
ネッツトヨタ千葉　都町店,千葉市中央区都町３－２２－２,043-231-6186,10:00 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
ネッツトヨタ千葉　末広店,千葉県千葉市中央区末広３－２４－３,043-263-5221,10:00 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
千葉トヨペット　松ケ丘店,千葉県千葉市中央区松ケ丘町１－１,043-261-6121,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
千葉トヨタ　本社登戸店,千葉県千葉市中央区登戸二丁目２番７号,043-302-8116,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
ニトリ　千葉市原店,千葉県千葉市中央区村田町８９３－８４,,10:00 ～ 20:00,0,2,加盟,大規模小売店舗,日本ユニシス,,,
メルセデス・ベンツ幕張,千葉県千葉市花見川区幕張町５－４１７－２５９,043-276-8000,10:00 ～ 18:00,2,0,提携,自動車ディーラー,エネゲート,,,【定休日等】月曜日定休日(月曜が祝祭日の場合は火曜日)、第二火曜日定休日および年末年始
ファミリーマート千葉柏井町店,千葉県千葉市花見川区柏井町１５７５－１,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
ファミリーマート花見川畑町店,千葉県千葉市花見川区畑町５８７－１,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
ファミリーマート千葉宇那谷町店,千葉県千葉市花見川区宇那谷町１６９７－４　他,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
ジャガー・ランドローバー幕張,千葉県千葉市花見川区幕張町５丁目４１７番地２６３,043-307-4917,10:00 ～ 19:00,1,0,提携,自動車ディーラー,JCN,,,【定休日等】毎週火曜日及び、年末年始
千葉日産幕張店,千葉県千葉市花見川区幕張町４丁目５４４,043-271-5151,24時間営業,1,0,提携,自動車ディーラー,e-Moblity Power,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
千葉さつきが丘ＳＳ,千葉県千葉市花見川区犢橋町１１２８－３,043-257-2900,04:00 ～ 03:00,1,0,提携,ガソリンスタンド,NEC,,,【定休日等】１月１日から１月３日１０時まで休業
京葉道路　幕張ＰＡ上り,千葉県千葉市花見川区幕張町２丁目２６２１,,24時間営業,2,0,提携,ＳＡ/ＰＡ,e-Moblity Power,,,
京葉道路　幕張ＰＡ下り,千葉県千葉市花見川区幕張町２丁目２６５１－１,,24時間営業,2,0,提携,ＳＡ/ＰＡ,e-Moblity Power,,,
Ａｕｄｉ幕張,千葉県千葉市花見川区幕張町２－７６９７,043-350-1800,10:00 ～ 19:00,1,0,提携,自動車ディーラー,日本ユニシス,,,【定休日等】毎月第二火曜日は定休日、年末年始・ＧＷなど不定期に停止することがあります。
ネッツトヨタ千葉　畑町店,千葉県千葉市花見川区朝日ヶ丘１－３５－７,043-276-6550,10:00 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
ネッツトヨタ東都　こてはし店,千葉県千葉市花見川区犢橋町２１９１－１,043-258-8001,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
トヨタカローラ千葉　宮野木店,千葉県千葉市花見川区朝日ヶ丘１－３５－３,043-276-1100,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
千葉トヨペット　花見川店,千葉県千葉市花見川区天戸町１４６６－３,043-257-7111,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
千葉トヨペット　長沼マイカーセンター,千葉県千葉市花見川区三角町５５９－１,043-250-9101,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
千葉トヨタ　畑町店,千葉県千葉市花見川区朝日ヶ丘５丁目２７番３２号,043-275-8221,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
千葉トヨタ　幕張店,千葉県千葉市花見川区幕張町１丁目７６８５番地,043-272-8111,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
とんでん　幕張店,千葉県千葉市花見川区幕張町１－７６８６－３,043-276-3471,10:00 ～ 00:30,0,2,加盟,飲食店,日本ユニシス,,,
フレスポ稲毛,千葉県千葉市稲毛区長沼原町７３１－１７,,10:00 ～ 21:30,1,0,加盟,大規模小売店舗,エネゲート,,,
ファミリーマート千葉長沼原店,千葉県千葉市稲毛区長沼原町７１６－１,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
千葉日産日産アプリーテ千葉店,千葉県千葉市稲毛区園生町３８５－１,043-254-9111,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
メルセデス・ベンツ千葉園生,千葉県千葉市稲毛区園生町３８７－１,043-287-3713,10:00 ～ 18:00,1,0,提携,自動車ディーラー,日本ユニシス,,,【定休日】月曜日（月曜が祝祭日の場合は火曜日）、第二火曜日および年末年始。【利用時間】３０分/１回
ネッツトヨタ千葉　小仲台店,千葉県千葉市稲毛区小仲台８－１７－１０,043-254-6661,10:00 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
千葉トヨペット　長沼店,千葉県千葉市稲毛区園生町３８８－１,043-257-6365,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
千葉トヨタ　穴川店,千葉県千葉市稲毛区園生町３７０番地５,043-290-0900,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
Ｒ５１若松町ＳＳ,千葉県千葉市若葉区若松町２０９４－３,043-214-3321,24時間営業,1,0,提携,ガソリンスタンド,エネゲート,,,
ファミリーマート　千葉中田町店,千葉県千葉市若葉区中田町１１６２－１,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
ミニストップ　千葉桜木６丁目店,千葉県千葉市若葉区桜木６－１９－６０,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
千葉日産桜木町店,千葉県千葉市若葉区桜木４丁目１９－３０,043-231-3641,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
サンドラッグ若松店,千葉県千葉市若葉区若松町５０２－７０,,09:30 ～ 21:30,2,0,提携,小売店舗,e-Moblity Power,,,【定休日等】年中無休
ファミリーマート千葉大宮インター店,千葉県千葉市若葉区大宮町２１１９－１,043-209-2085,24時間営業,2,0,提携,コンビニエンスストア,e-Moblity Power,,,【定休日等】年中無休
千葉三菱自動車販売（株）千葉東店,千葉県千葉市若葉区若松町２１５０ー１,043-233-6551,24時間営業,1,0,提携,自動車ディーラー,日本ユニシス,,,【利用不可日】メンテナンス日
ティーエムアドヴァンス,千葉県千葉市若葉区貝塚町４９５－１,050-3173-5349,24時間営業,0,1,提携,小売店舗,ENECHANGE,NEW,2023年04月20日,【定休日等】24時間・年中無休
ジャパンゴルフスクール,千葉県千葉市若葉区加曽利１４８２－１,050-3173-5349,11:00 ～ 23:00,0,3,提携,その他,ENECHANGE,NEW,2023年04月20日,【定休日等】利用日時制限あり
グランパークホテルパネックス千葉,千葉県千葉市若葉区殿台町１２３－４,043-251-4123,24時間営業,0,1,提携,宿泊施設,トヨタコネクティッド,,,
トヨタカローラ千葉　都賀店,千葉県千葉市若葉区貝塚２－９－７,043-231-6511,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
千葉トヨペット　小倉店,千葉県千葉市若葉区若松町２１２３－１,043-231-0244,10:00 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
